VendorName,StockTurnOver,TotalPurchaseDollars,TotalSalesDollars,UnsoldInventoryValue,GrossProfit
ALISA CARR BEVERAGES,0.6153846153846154,623.22,1119.84,239.7,496.6199999999999
HIGHLAND WINE MERCHANTS LLC,0.7083333333333334,312.24,322.83,91.07,10.589999999999975
PARK STREET IMPORTS LLC,0.7513061650992685,32346.600000000002,33253.619999999995,8044.4,907.0199999999932
Circa Wines,0.7556758172807745,13371.210000000001,15643.869999999999,3425.4100000000003,2272.6599999999994
Dunn Wine Brokers,0.7660221307374232,56963.299999999996,66056.98999999999,12702.25,9093.689999999999
CENTEUR IMPORTS LLC,0.7739529531705635,2797.45,3170.5699999999997,655.32,373.1200000000001
SMOKY QUARTZ DISTILLERY LLC,0.7838345864661654,11453.960000000001,11671.83,2475.9500000000003,217.86999999999898
TAMWORTH DISTILLING,0.797077922077922,23863.84,24540.18,4842.5,676.3400000000001
THE IMPORTED GRAPE LLC,0.8075691642655883,11145.68,16380.33,2161.42,5234.65
WALPOLE MTN VIEW WINERY,0.820547968078008,9292.31,11483.88,1651.29,2191.5699999999997
BRONCO WINE COMPANY,0.8226007812814627,1391.26,1677.6999999999998,250.58,286.43999999999994
SOUTHERN GLAZERS W&S OF NE,0.8255516840882695,26141.879999999997,33363.31,3617.5,7221.430000000003
FORTUNE WINE BROKERS LLC,0.8415455528312948,12923.78,16903.649999999998,2172.22,3979.87
STELLAR IMPORTING CO LLC,0.844898816549361,19407.34,26534.71,1960.62,7127.37
VINILANDIA USA,0.8468637383658303,385011.02,559898.08,38442.27,174887.06
WEIN BAUER INC,0.8470149253731343,39162.96000000001,50745.88,1782.3,11582.919999999996
SWEETWATER FARM,0.8510474173802915,19716.41,21812.01,3358.41,2095.5999999999995
CRUSH WINES,0.8512175997039582,148228.74,229793.94999999998,13117.08,81565.20999999999
NICHE W & S,0.8527664895279775,10140.83,10884.720000000001,1493.07,743.8900000000012
PREMIER DISTRIBUTORS,0.8533846907198042,43811.060000000005,53902.07,2625.95,10091.009999999997
PSP WINES,0.8600489820728476,93700.23,129939.79,8786.37,36239.56
FREDERICK WILDMAN & SONS,0.8605332421547721,308422.47,437360.25,19385.52,128937.78000000001
CALEDONIA SPIRITS INC,0.863362223097157,220584.74000000002,244843.44,21690.64,24258.699999999993
STATE WINE & SPIRITS,0.866970059363694,1182165.18,1656027.68,69638.91,473862.5
DIAGEO CHATEAU ESTATE WINES,0.8679929465432226,483623.19,702195.96,30148.4,218572.77000000002
MOONLIGHT MEADERY,0.8715664122120953,71002.29,93369.92,8202.25,22367.629999999997
JEWELL TOWNE VINEYARDS,0.8723842562710026,42291.44,60732.0,4796.76,18440.56
AMERICAN SPIRITS EXCHANGE,0.875,934.08,1511.1599999999999,116.76,577.0799999999998
SWEET BABY VINEYARD,0.8766375488418024,140577.9,184253.27000000002,16969.87,43675.37000000001
SURVILLE ENTERPRISES CORP,0.8770709366765154,17992.1,31032.32,1191.47,13040.220000000001
PINE STATE TRADING CO,0.8793138500402513,1934394.04,2891844.93,135543.46,957450.8899999999
KLIN SPIRITS LLC,0.8799385138670852,103192.11,146611.65,5642.91,43419.53999999999
FULCHINO VINEYARD INC,0.8799569696645062,11147.77,14441.64,1350.9499999999998,3293.87
DJINN SPIRITS LLC,0.8811163320021351,38706.99,49734.34,3044.8199999999997,11027.350000000004
PERFECTA WINES,0.8817136602202038,3551270.85,5024446.37,344628.24,1473175.52
EDRINGTON AMERICAS,0.8849541710218352,1762627.24,2285175.25,139420.06,522548.01
KOBRAND CORPORATION,0.8854831382257595,1109953.34,1654328.24,68022.95,544374.9
ATLANTIC IMPORTING COMPANY,0.8930782217220034,37885.64,45645.13,4050.8,7759.489999999998
LATITUDE BEVERAGE COMPANY,0.8956614453537107,307174.52,463174.55,17392.39,156000.03
SEA BREEZE CELLARS LLC,0.8959575783279233,73584.31,115201.43,6862.5,41617.119999999995
M S WALKER INC,0.896111468726609,6470369.86,9342196.14,275901.21,2871826.2800000003
WESTERN SPIRITS BEVERAGE CO,0.8969295442621467,215215.51,269611.07,15208.789999999999,54395.560000000005
DUGGANS DISTILLED PRODUCTS,0.8971170190104569,133155.57,159049.53999999998,13803.65,25893.969999999994
FABRIZIA SPIRITS LLC,0.899138086182507,119060.6,146719.63,10162.84,27659.029999999984
MARTIGNETTI COMPANIES,0.9003646416722451,18654635.79,26964322.02,882507.46,8309686.23
ULTRA BEVERAGE COMPANY LLP,0.9007753501088527,8363234.66,11432444.07,506534.91000000003,3069209.41
WINE GROUP INC,0.9010363531228692,3616979.29,5740147.47,102897.58,2123168.18
SOUTHERN WINE & SPIRITS NE,0.903225533472043,2514514.12,3800426.93,119354.58,1285912.81
STE MICHELLE WINE ESTATES,0.906734489160833,2216620.08,3418441.46,110182.61,1201821.38
VRANKEN AMERICA,0.9081504530651342,95640.97,143899.63,5059.400000000001,48258.66000000001
TRINCHERO FAMILY ESTATES,0.9081631470682957,1339005.74,1996040.82,46738.36,657035.0800000001
WILLIAM GRANT & SONS INC,0.9082371095665188,5009706.0,6281916.42,468086.31,1272210.42
